# slug|中文名|基酒|杯型|方式|风味标签|配方 id:用量:单位:optional:alternative|装饰|步骤（自述）|图片主体
alexander|亚历山大|白兰地|鸡尾酒杯|摇和|醇厚|cognac:30;cacao-brown:30;cream:30|nutmeg:少许:磨碎|所有材料加冰摇匀，滤入预冷的鸡尾酒杯。|pale beige creamy drink in a stemmed coupe, fine grated nutmeg on top, no ice
americano|美国佬||古典杯|直调|苦甜|campari:30;vermouth:30;soda:少许:补入|orange:半:片;lemon-fruit:1:条皮|在加冰的古典杯中混合金巴利和味美思，补少许苏打水，轻轻搅匀。|transparent ruby red drink in straight low rocks glass with large ice cubes, half orange slice and lemon zest
angel-face|天使之颜|多种烈酒|鸡尾酒杯|摇和||gin:30;apricot-brandy:30;calvados:30||所有材料加冰摇匀，滤入预冷的鸡尾酒杯。|clear pale golden drink in stemmed coupe, no garnish, no ice
aviation|飞行|金酒|鸡尾酒杯|摇和|酸甜,柑橘|gin:45;luxardo-maraschino:15;lemon:15;violette:1:吧匙|cherry:1:颗:可选|所有材料加碎冰摇匀，滤入预冷的鸡尾酒杯。|very pale silvery lavender drink in a coupe with one dark cocktail cherry, no ice
bees-knees|蜂之膝|金酒|鸡尾酒杯|摇和|酸甜,柑橘|gin:52.5;honey-syrup:2:茶匙;lemon:22.5;orange-juice:22.5|lemon-fruit:1:条皮:可选:orange|先将蜂蜜糖浆与柠檬汁、橙汁搅匀，再加入金酒和冰摇匀，滤入冷杯。|cloudy pale gold drink in coupe, curled lemon zest, no ice
bellini|贝利尼||香槟笛杯|搅拌|气泡,清爽|prosecco:100;peach-puree:50||果泥和普罗塞克在加冰的调酒杯中轻轻拌匀，倒入预冷香槟笛杯。|pale peach pink bubbly opaque drink in champagne flute, no garnish, no ice
between-the-sheets|床笫之间|多种烈酒|鸡尾酒杯|摇和|酸甜,柑橘|rum:30;cognac:30;triple-sec:30;lemon:20||所有材料加冰摇匀，滤入预冷的鸡尾酒杯。|pale golden yellow drink in cocktail coupe, no garnish, no ice
black-russian|黑俄罗斯|伏特加|古典杯|直调|咖啡|vodka:50;coffee-liqueur:20||将材料倒入装有冰块的古典杯，轻轻搅匀。|very dark coffee brown translucent drink in rocks glass with large ice cubes, no garnish
bloody-mary|血腥玛丽|伏特加|古典杯|搅拌|咸鲜|vodka:45;tomato:90;lemon:15;worcestershire:2:dash;tabasco:适量:按口味;celery-salt:适量:按口味;pepper:适量:按口味|celery:1:枝:可选;lemon-fruit:1:角:可选|材料在调酒杯中加冰轻搅后倒入古典杯；若希望带冰饮用，可改用海波杯。|opaque tomato red drink in a wide rocks glass, celery stalk and lemon wedge, light black pepper specks
boulevardier|花花公子|威士忌|鸡尾酒杯|搅拌|苦甜|bourbon:45:::rye;campari:30;vermouth:30|orange:1:条皮::lemon-fruit|材料放入加冰的调酒杯，充分搅冷，滤入预冷鸡尾酒杯。|deep reddish amber clear drink served up in a stemmed coupe, orange zest curl, no ice
bramble|荆棘|金酒|古典杯|摇和|酸甜,柑橘|gin:50;lemon:25;syrup:12.5;mure:15|lemon-fruit:1:片:可选;blackberry:2:颗:可选|除黑莓利口酒外，材料加冰摇匀，滤入装碎冰的冷古典杯。沿酒面画圈淋入黑莓利口酒。|pale lemon drink over crushed ice in low rocks glass, blackberry purple liqueur cascading through ice, lemon slice and two blackberries
brandy-crusta|白兰地克鲁斯塔|白兰地|细长鸡尾酒杯|搅拌||brandy:52.5;luxardo-maraschino:7.5;curacao:1:吧匙;lemon:15;syrup:1:吧匙;aromatic-bitters:2:dash|orange:1:长条皮::lemon-fruit;powdered-sugar:适量:杯口|用柑橘湿润杯口，蘸上细糖；在杯内圈放长柑橘皮。材料加冰搅冷，滤入准备好的细长鸡尾酒杯。|golden drink in narrow stemmed cocktail goblet with a sugar crust rim and one large wide orange peel lining inside rim, no ice
caipirinha|凯匹林纳|其他烈酒|双份古典杯|捣压||cachaca:60;lime-fruit:1:个切角;cane-sugar:4:茶匙||杯中轻压青柠角和糖，加入碎冰及卡莎萨，轻搅均匀。|cloudy pale green drink in double rocks glass, cracked ice with muddled lime wedges inside, no separate garnish
canchanchara|坎香恰拉|其他烈酒|陶杯|直调|酸甜,柑橘|aguardiente:60;lime:15;honey:15;water:50|lime-fruit:1:角|把蜂蜜、水与青柠汁拌匀并润过杯壁，加入碎冰及甘蔗烈酒，从杯底向上充分搅匀。|small rustic round terracotta cup with honey colored drink and cracked ice, one lime wedge
cardinale|红衣主教|金酒|鸡尾酒杯|搅拌|苦甜|gin:40;dry-vermouth:20;campari:10|lemon-fruit:1:条皮|材料加冰搅冷，滤入预冷鸡尾酒杯。|clear light coral red drink in stemmed coupe, lemon zest curl, no ice
casino|赌场|金酒|古典杯|摇和|酸甜,柑橘|old-tom:40;luxardo-maraschino:10;lemon:10;orange-bitters:2:dash|lemon-fruit:1:条皮;cherry:1:颗|材料加冰摇匀，滤入装冰的预冷古典杯。|pale straw yellow drink in straight rocks glass with ice cubes, lemon zest and cocktail cherry
champagne-cocktail|香槟鸡尾酒||香槟杯|直调|气泡,清爽|champagne:90;cognac:10;angostura:2:dash;grand-marnier:少许:滴:可选;sugar-cube:1:块|orange:1:条皮;cherry:1:颗|方糖滴入苦精后放入大香槟杯，加干邑，再缓缓注入冷香槟；柑曼怡可按需加入。|golden bubbly champagne in large tulip champagne flute, sugar cube at bottom, orange zest and one cherry
chartreuse-swizzle|查特旋调||海波杯|旋调|热带|chartreuse-green:45;pineapple-juice:30;lime:22.5;falernum:15|mint:1:枝;nutmeg:少许:磨碎|将材料和小粒冰放入高杯，用旋调棒或吧匙充分旋匀，再补满小粒冰。|pale yellow green drink in tall highball packed with pebble ice, fresh mint sprig and fine nutmeg dust
clover-club|三叶草俱乐部|金酒|鸡尾酒杯|摇和|酸甜,柑橘|gin:45;raspberry-syrup:15;lemon:15;egg-white:少许:滴|raspberry:3:颗|所有材料加冰充分摇匀，滤入预冷鸡尾酒杯。|pale pink drink with fine white foam cap in coupe, three fresh raspberries, no ice
corpse-reviver-2|亡者复苏 2 号|金酒|鸡尾酒杯|摇和|酸甜,柑橘|gin:30;cointreau:30;lillet:30;lemon:30;absinthe:1:dash|orange:1:条皮|所有材料加冰摇匀，滤入预冷鸡尾酒杯。|cloudy pale yellow drink in coupe, orange zest curl, no ice
cosmopolitan|大都会|伏特加|大号鸡尾酒杯|摇和|酸甜,柑橘|citron-vodka:40;cointreau:15;lime:15;cranberry:30|lemon-fruit:1:条皮|材料加冰充分摇匀，滤入大号鸡尾酒杯。|clear blush cranberry pink drink in V shaped martini glass, lemon twist, no ice
cuba-libre|自由古巴|朗姆酒|海波杯|直调|气泡,清爽|rum:50;cola:120;lime:10|lime-fruit:1:角|将材料依次倒入装满冰块的海波杯，轻轻混合。|dark cola brown drink in tall highball with ice cubes, lime wedge
